Cue,CorrAns,Eval,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ensureResponse.thisRepN,ensureResponse.thisTrialN,ensureResponse.thisN,ensureResponse.thisIndex,understand.keys,understand.rt,key_resp_10.keys,key_resp_10.rt,Prediction_Response.keys,Prediction_Response.rt,key_resp_7.keys,key_resp_7.rt,date,expName,Version,frameRate,Subject,
,,,,,,,,,,,1,2.81885385513,,,,,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
,,,,,,,,,,,,,1,1.0872797966,,,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_1.jpg,1,Yes,0,0,0,0,0,0,0,0,,,,,2,1.37001609802,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_1.jpg,1,Yes,0,0,0,0,,,,,,,,,,,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_2.jpg,2,No,0,1,1,1,0,0,0,0,,,,,1,0.721945047379,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_2.jpg,2,No,0,1,1,1,,,,,,,,,,,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_3.jpg,1,Yes,0,2,2,2,0,0,0,0,,,,,1,0.487215042114,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_3.jpg,1,Yes,0,2,2,2,,,,,,,,,,,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_4.jpg,1,Yes,0,3,3,3,0,0,0,0,,,,,2,0.402079105377,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_4.jpg,1,Yes,0,3,3,3,,,,,,,,,,,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_5.jpg,2,No,0,4,4,4,0,0,0,0,,,,,2,0.225227117538,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_5.jpg,2,No,0,4,4,4,,,,,,,,,,,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_6.jpg,1,Yes,0,5,5,5,0,0,0,0,,,,,1,1.15324306488,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_6.jpg,1,Yes,0,5,5,5,,,,,,,,,,,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_7.jpg,1,Yes,0,6,6,6,0,0,0,0,,,,,2,0.2132999897,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_7.jpg,1,Yes,0,6,6,6,,,,,,,,,,,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_8.jpg,1,Yes,0,7,7,7,0,0,0,0,,,,,1,2.00196814537,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_8.jpg,1,Yes,0,7,7,7,,,,,,,,,,,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_9.jpg,2,No,0,8,8,8,0,0,0,0,,,,,1,0.754732131958,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_9.jpg,2,No,0,8,8,8,,,,,,,,,,,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_10.jpg,1,Yes,0,9,9,9,0,0,0,0,,,,,1,1.91727304459,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
stim/Smile_10.jpg,1,Yes,0,9,9,9,,,,,,,,,,,,,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
,,,,,,,,,,,,,,,,,1,9.80478096008,2019_Feb_25_1711,SocaMotivePractice,1A,59.9171734401,999,
