Cue,CorrAns,Eval,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ensureResponse.thisRepN,ensureResponse.thisTrialN,ensureResponse.thisN,ensureResponse.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,understand.keys,understand.rt,key_resp_10.keys,key_resp_10.rt,Prediction_Response.keys,Prediction_Response.rt,key_resp_7.keys,key_resp_7.rt,date,expName,Version,frameRate,Subject,
,,,,,,,,,,,,,,,1,5.41892865707,,,,,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
,,,,,,,,,,,,,,,,,1,3.56806560438,,,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_1.jpg,1,Yes,0,0,0,0,0,0,0,0,,,,,,,,,1,0.934185992916,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_1.jpg,1,Yes,0,0,0,0,,,,,,,,,,,,,,,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_2.jpg,2,No,0,1,1,1,0,0,0,0,,,,,,,,,1,1.10030656806,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_2.jpg,2,No,0,1,1,1,,,,,,,,,,,,,,,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_3.jpg,1,Yes,0,2,2,2,0,0,0,0,,,,,,,,,1,0.17299339745,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_3.jpg,1,Yes,0,2,2,2,,,,,,,,,,,,,,,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_4.jpg,1,Yes,0,3,3,3,0,0,0,0,,,,,,,,,1,1.96798716625,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_4.jpg,1,Yes,0,3,3,3,,,,,,,,,,,,,,,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_5.jpg,2,No,0,4,4,4,0,0,0,0,,,,,,,,,2,2.70098619931,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_5.jpg,2,No,0,4,4,4,,,,,,,,,,,,,,,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_6.jpg,1,Yes,0,5,5,5,0,0,0,0,,,,,,,,,None,,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_6.jpg,1,Yes,0,5,5,5,1,0,1,0,,,,,,,,,1,0.218847668612,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_6.jpg,1,Yes,0,5,5,5,,,,,,,,,,,,,,,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_7.jpg,1,Yes,0,6,6,6,0,0,0,0,,,,,,,,,1,1.33374522163,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_7.jpg,1,Yes,0,6,6,6,,,,,,,,,,,,,,,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_8.jpg,1,Yes,0,7,7,7,0,0,0,0,,,,,,,,,1,1.31702595705,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_8.jpg,1,Yes,0,7,7,7,,,,,,,,,,,,,,,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_9.jpg,2,No,0,8,8,8,0,0,0,0,,,,,,,,,2,1.58383627145,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_9.jpg,2,No,0,8,8,8,,,,,,,,,,,,,,,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_10.jpg,1,Yes,0,9,9,9,0,0,0,0,,,,,,,,,1,1.23480898823,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
stim/Smile_10.jpg,1,Yes,0,9,9,9,,,,,,,,,,,,,,,,,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
,,,,,,,,,,,,,,,,,,,,,1,8.653152936,2019_Mar_08_0910,SocaMotivePractice,1A,59.9704369916,Rej_01,
