Cue,CorrAns,Eval,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ensureResponse.thisRepN,ensureResponse.thisTrialN,ensureResponse.thisN,ensureResponse.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,understand.keys,understand.rt,key_resp_10.keys,key_resp_10.rt,Prediction_Response.keys,Prediction_Response.rt,key_resp_7.keys,key_resp_7.rt,cueResponse.keys,cueResponse.rt,date,expName,Version,frameRate,Subject,
,,,,,,,,,,,,,,,1,2.2216899395,,,,,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
,,,,,,,,,,,,,,,,,1,3.03567099571,,,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_1.jpg,1,Yes,0,0,0,0,0,0,0,0,,,,,,,,,None,,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_1.jpg,1,Yes,0,0,0,0,1,0,1,0,,,,,,,,,1,0.288750886917,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_1.jpg,1,Yes,0,0,0,0,,,,,,,,,,,,,,,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_2.jpg,2,No,0,1,1,1,0,0,0,0,,,,,,,,,2,0.452997922897,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_2.jpg,2,No,0,1,1,1,,,,,,,,,,,,,,,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_3.jpg,1,Yes,0,2,2,2,0,0,0,0,,,,,,,,,None,,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_3.jpg,1,Yes,0,2,2,2,1,0,1,0,,,,,,,,,2,0.936115026474,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_3.jpg,1,Yes,0,2,2,2,,,,,,,,,,,,,,,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_4.jpg,1,Yes,0,3,3,3,0,0,0,0,,,,,,,,,1,0.228990793228,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_4.jpg,1,Yes,0,3,3,3,,,,,,,,,,,,,,,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_5.jpg,2,No,0,4,4,4,0,0,0,0,,,,,,,,,2,1.25640511513,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_5.jpg,2,No,0,4,4,4,,,,,,,,,,,,,,,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_6.jpg,1,Yes,0,5,5,5,0,0,0,0,,,,,,,,,1,2.11920595169,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_6.jpg,1,Yes,0,5,5,5,,,,,,,,,,,,,,,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_7.jpg,1,Yes,0,6,6,6,0,0,0,0,,,,,,,,,2,2.68727588654,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_7.jpg,1,Yes,0,6,6,6,,,,,,,,,,,,,,,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_8.jpg,1,Yes,0,7,7,7,0,0,0,0,,,,,,,,,1,0.230760097504,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_8.jpg,1,Yes,0,7,7,7,,,,,,,,,,,,,,,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_9.jpg,2,No,0,8,8,8,0,0,0,0,,,,,,,,,2,1.06988596916,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_9.jpg,2,No,0,8,8,8,,,,,,,,,,,,,,,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_10.jpg,1,Yes,0,9,9,9,0,0,0,0,,,,,,,,,2,2.01676893234,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
stim/Smile_10.jpg,1,Yes,0,9,9,9,,,,,,,,,,,,,,,,,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
,,,,,,,,,,,,,,,,,,,,,1,2.75372695923,,,2019_Feb_25_1713,SocaMotivePractice,1A,59.6758331816,999,
